ID,Met_topic,Met_vehicle,Eng_item,Metaphor,Simile,Lit_topic/vehicle,LengthTopic,Eng_conventionality,Eng_aptness,Eng_aptness_label,LengthVehicle,FrequencyTopic,FrequencyVehicle,ConcretenessTopic,ConcretenessVehicle,Familiarity,Difficulty,Imageability,Metaphoricity,SemanticDistance,N_interpretations,Strength,resources,Simile_come_cloze_surprisal__sapienzanlp_Minerva_1B_base_v1_0,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_350M_base_v1_0,source_llm__sapienzanlp_Minerva_350M_base_v1_0,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_3B_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_3B_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_3B_base_v1_0,source_llm__sapienzanlp_Minerva_3B_base_v1_0,Diff_Log_Likelihood_Minerva_350M_base_v1_0,Diff_Log_Likelihood_Minerva_3B_base_v1_0,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_1B_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_1B_base_v1_0,Diff_Log_Likelihood_Minerva_1B_base_v1_0,Unnamed: 38,Unnamed: 39,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_7B_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_7B_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_7B_base_v1_0,Diff_Log_Likelihood_Minerva_7B_base_v1_0
1,aeroplano,piuma,,L'aeroplano è una piuma.,L'aeroplano è come una piuma.,oca,9.0,,,,5.0,10.0,32.0,4.408,4.338,2.765,3.529,3.529,5.4,0.691,1.619,4.636,Bambini et al. (2024),6.5625,-2.875,-2.770833333,6.75,sapienzanlp/Minerva-350M-base-v1.0,-3.022727273,-2.875,7.1875,sapienzanlp/Minerva-3B-base-v1.0,-0.104166667,-0.147727273,-3.272727273,-2.9375,-0.335227273,,,-2.997159090909091,-2.825520833333333,7.86328125,-0.1716382575757578
2,amicizia,cuscino,,L'amicizia è un cuscino.,L'amicizia è come un cuscino.,letto,8.0,,,,7.0,212.0,57.0,3.121,5.036,2.2,4.6,3.067,5.867,0.877,1.714,4.727,Bambini et al. (2024),6.9375,-3.953125,-3.055555556,6.3125,sapienzanlp/Minerva-350M-base-v1.0,-3.609375,-3.013888889,6.9375,sapienzanlp/Minerva-3B-base-v1.0,-0.897569444,-0.595486111,-3.625,-3.222222222,-0.402777778,,,-3.935546875,-3.423611111111111,7.7890625,-0.5119357638888888
3,anima,pianoforte,,L'anima è un pianoforte.,L'anima è come un pianoforte.,tasto,5.0,,,,10.0,341.0,70.0,2.726,4.591,2.667,4.6,2.733,4.667,0.791,1.556,4.867,Bambini et al. (2024),7.03125,-4.267857143,-3.421875,7.125,sapienzanlp/Minerva-350M-base-v1.0,-4.0,-3.34375,7.125,sapienzanlp/Minerva-3B-base-v1.0,-0.845982143,-0.65625,-3.875,-3.390625,-0.484375,,,-4.522321428571429,-3.42578125,7.94140625,-1.0965401785714288
4,apparenza,trappola,,L'apparenza è una trappola.,L'apparenza è come una trappola.,topo,9.0,,,,8.0,82.0,56.0,2.415,3.91,4.0,3.067,3.333,5.8,0.727,1.619,4.727,Bambini et al. (2024),6.90625,-3.013888889,-3.275,6.125,sapienzanlp/Minerva-350M-base-v1.0,-2.972222222,-3.05,7.1875,sapienzanlp/Minerva-3B-base-v1.0,0.261111111,0.077777778,-2.958333333,-3.35,0.391666667,,,-3.8236607142857135,-4.13671875,7.03515625,0.3130580357142865
5,aula,teatro,,L'aula è un teatro.,L'aula è come un teatro.,spettacolo,4.0,,,,6.0,225.0,496.0,4.339,3.558,2.867,2.867,3.933,2.667,0.732,2.0,4.385,Bambini et al. (2024),7.53125,-4.035714286,-3.640625,7.0625,sapienzanlp/Minerva-350M-base-v1.0,-3.767857143,-3.640625,7.0,sapienzanlp/Minerva-3B-base-v1.0,-0.395089286,-0.127232143,-4.0,-3.640625,-0.359375,,,-4.035714285714286,-3.626953125,8.953125,-0.4087611607142856
6,autismo,cactus,,L'autismo è un cactus.,L'autismo è come un cactus.,deserto,7.0,,,,6.0,1.0,10.0,3.232,4.319,2.0,4.6,2.533,6.333,0.895,1.333,4.143,Bambini et al. (2024),6.84375,-3.6,-3.090909091,7.15625,sapienzanlp/Minerva-350M-base-v1.0,-3.7,-3.090909091,6.8125,sapienzanlp/Minerva-3B-base-v1.0,-0.509090909,-0.609090909,-3.725,-2.897727273,-0.827272727,,,-4.28125,-3.390625,8.03125,-0.890625
7,barba,lana,,La barba è una lana.,La barba è come una lana.,cotone,5.0,,,,4.0,70.0,50.0,4.304,4.597,2.412,3.118,3.941,4.867,0.665,1.5,4.933,Bambini et al. (2024),7.4375,-4.964285714,-4.21875,7.0625,sapienzanlp/Minerva-350M-base-v1.0,-5.035714286,-4.84375,7.5,sapienzanlp/Minerva-3B-base-v1.0,-0.745535714,-0.191964286,-5.214285714,-4.40625,-0.808035714,,,-5.390625,-5.428571428571429,7.7265625,0.037946428571428825
8,biblioteca,tesoro,,La biblioteca è un tesoro.,La biblioteca è come un tesoro.,corona,10.0,,,,6.0,102.0,191.0,4.24,3.697,3.333,2.933,3.6,4.667,0.738,2.095,5.545,Bambini et al. (2024),7.875,-4.375,-4.5,6.625,sapienzanlp/Minerva-350M-base-v1.0,-4.083333333,-4.0,7.40625,sapienzanlp/Minerva-3B-base-v1.0,0.125,-0.083333333,-4.229166667,-3.928571429,-0.300595238,,,-4.174479166666667,-4.243303571428571,7.69140625,0.06882440476190421
9,burocrazia,labirinto,,La burocrazia è un labirinto.,La burocrazia è come un labirinto.,siepe,10.0,,,,9.0,39.0,27.0,2.49,3.671,5.0,2.333,4.4,5.867,0.726,1.7,5.091,Bambini et al. (2024),7.5625,-3.166666667,-3.1125,6.8125,sapienzanlp/Minerva-350M-base-v1.0,-2.722222222,-2.6875,8.125,sapienzanlp/Minerva-3B-base-v1.0,-0.054166667,-0.034722222,-2.958333333,-3.1,0.141666667,,,-3.9348958333333335,-3.720982142857143,7.3828125,-0.2139136904761907
10,caffè,benzina,,Il caffè è una benzina.,Il caffè è come una benzina.,rifornimento,5.0,,,,7.0,164.0,108.0,4.487,4.458,2.412,3.0,3.941,5.2,0.61,1.333,6.062,Bambini et al. (2024),7.5,-4.8125,-4.214285714,6.6875,sapienzanlp/Minerva-350M-base-v1.0,-4.916666667,-4.375,7.5,sapienzanlp/Minerva-3B-base-v1.0,-0.598214286,-0.541666667,-5.1875,-4.339285714,-0.848214286,,,-5.098958333333333,-4.642857142857143,7.34765625,-0.4561011904761898
