ID,Met_topic,Met_vehicle,Eng_item,Metaphor,Simile,Lit_topic/vehicle,LengthTopic,Eng_conventionality,Eng_aptness,Eng_aptness_label,LengthVehicle,FrequencyTopic,FrequencyVehicle,ConcretenessTopic,ConcretenessVehicle,Familiarity,Difficulty,Imageability,Metaphoricity,SemanticDistance,N°interpretations,Strength,resources,Metaphor_log_likelihood_norm,Simile_log_likelihood_norm,Simile_come_cloze_surprisal,source_llm,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_350M_base_v1_0,source_llm__sapienzanlp_Minerva_350M_base_v1_0
1,aeroplano,piuma,,L'aeroplano è una piuma.,L'aeroplano è come una piuma.,oca,9.0,,,,5.0,10.0,32.0,4.408,4.338,2.765,3.529,3.529,5.4,0.691,1.619,4.636,Bambini et al. (2024),-3.272727272727273,-2.9375,6.5625,sapienzanlp/Minerva-1B-base-v1.0,-2.875,-2.7708333333333335,6.75,sapienzanlp/Minerva-350M-base-v1.0
2,amicizia,cuscino,,L'amicizia è un cuscino.,L'amicizia è come un cuscino.,letto,8.0,,,,7.0,212.0,57.0,3.121,5.036,2.2,4.6,3.067,5.867,0.877,1.714,4.727,Bambini et al. (2024),-3.625,-3.2222222222222223,6.9375,sapienzanlp/Minerva-1B-base-v1.0,-3.953125,-3.0555555555555554,6.3125,sapienzanlp/Minerva-350M-base-v1.0
3,anima,pianoforte,,L'anima è un pianoforte.,L'anima è come un pianoforte.,tasto,5.0,,,,10.0,341.0,70.0,2.726,4.591,2.667,4.6,2.733,4.667,0.791,1.556,4.867,Bambini et al. (2024),-3.875,-3.390625,7.03125,sapienzanlp/Minerva-1B-base-v1.0,-4.267857142857143,-3.421875,7.125,sapienzanlp/Minerva-350M-base-v1.0
4,apparenza,trappola,,L'apparenza è una trappola.,L'apparenza è come una trappola.,topo,9.0,,,,8.0,82.0,56.0,2.415,3.91,4.0,3.067,3.333,5.8,0.727,1.619,4.727,Bambini et al. (2024),-2.9722222222222223,-3.35,6.90625,sapienzanlp/Minerva-1B-base-v1.0,-3.013888888888889,-3.275,6.125,sapienzanlp/Minerva-350M-base-v1.0
5,aula,teatro,,L'aula è un teatro.,L'aula è come un teatro.,spettacolo,4.0,,,,6.0,225.0,496.0,4.339,3.558,2.867,2.867,3.933,2.667,0.732,2.0,4.385,Bambini et al. (2024),-3.982142857142857,-3.671875,7.53125,sapienzanlp/Minerva-1B-base-v1.0,-4.035714285714286,-3.640625,7.0625,sapienzanlp/Minerva-350M-base-v1.0
6,autismo,cactus,,L'autismo è un cactus.,L'autismo è come un cactus.,deserto,7.0,,,,6.0,1.0,10.0,3.232,4.319,2.0,4.6,2.533,6.333,0.895,1.333,4.143,Bambini et al. (2024),-3.7,-2.897727272727273,6.84375,sapienzanlp/Minerva-1B-base-v1.0,-3.6,-3.090909090909091,7.15625,sapienzanlp/Minerva-350M-base-v1.0
7,barba,lana,,La barba è una lana.,La barba è come una lana.,cotone,5.0,,,,4.0,70.0,50.0,4.304,4.597,2.412,3.118,3.941,4.867,0.665,1.5,4.933,Bambini et al. (2024),-5.214285714285714,-4.40625,7.4375,sapienzanlp/Minerva-1B-base-v1.0,-4.964285714285714,-4.21875,7.0625,sapienzanlp/Minerva-350M-base-v1.0
8,biblioteca,tesoro,,La biblioteca è un tesoro.,La biblioteca è come un tesoro.,corona,10.0,,,,6.0,102.0,191.0,4.24,3.697,3.333,2.933,3.6,4.667,0.738,2.095,5.545,Bambini et al. (2024),-4.229166666666667,-3.928571428571429,7.875,sapienzanlp/Minerva-1B-base-v1.0,-4.375,-4.5,6.625,sapienzanlp/Minerva-350M-base-v1.0
9,burocrazia,labirinto,,La burocrazia è un labirinto.,La burocrazia è come un labirinto.,siepe,10.0,,,,9.0,39.0,27.0,2.49,3.671,5.0,2.333,4.4,5.867,0.726,1.7,5.091,Bambini et al. (2024),-2.958333333333333,-3.125,7.5625,sapienzanlp/Minerva-1B-base-v1.0,-3.1666666666666665,-3.1125,6.8125,sapienzanlp/Minerva-350M-base-v1.0
10,caffè,benzina,,Il caffè è una benzina.,Il caffè è come una benzina.,rifornimento,5.0,,,,7.0,164.0,108.0,4.487,4.458,2.412,3.0,3.941,5.2,0.61,1.333,6.062,Bambini et al. (2024),-5.208333333333333,-4.321428571428571,7.5,sapienzanlp/Minerva-1B-base-v1.0,-4.8125,-4.214285714285714,6.6875,sapienzanlp/Minerva-350M-base-v1.0
